datetime,PV voltage,PV current,PV power L,PV power H,battery voltage,battery current,battery power L,battery power H,load voltage,load current,load power,battery percentage
2020-09-13 07:29:49.199149,12.58,0.0,0.0,0.0,1.89,0.0,0.0,0.0,1.89,0.0,0.0,0.0
2020-09-13 07:31:49.405650,12.63,0.0,0.0,0.0,1.88,0.0,0.0,0.0,1.88,0.0,0.0,0.0
2020-09-13 07:37:55.753128,13.87,0.0,0.0,0.0,4.14,0.0,0.0,0.0,4.14,0.0,0.0,0.0
2020-09-13 10:58:54.923235,17.08,0.05,0.99,0.0,11.02,0.09,0.99,0.0,11.02,0.0,0.0,0.0
2020-09-13 11:00:55.129460,17.2,0.07,1.3,0.0,14.48,0.09,1.3,0.0,14.48,0.0,0.0,1.0
2020-09-13 11:02:55.253346,16.08,0.07,1.22,0.0,13.66,0.09,1.22,0.0,13.66,0.0,0.0,0.94
2020-09-13 11:04:55.462094,17.0,0.09,1.59,0.0,14.51,0.11,1.59,0.0,14.51,0.0,0.0,1.0
2020-09-13 11:06:55.625927,18.24,0.08,1.54,0.0,14.07,0.11,1.54,0.0,14.07,0.0,0.0,1.0
2020-09-13 11:08:55.750949,17.76,0.08,1.58,0.0,14.37,0.11,1.58,0.0,14.37,0.0,0.0,1.0
2020-09-13 11:10:55.862262,18.24,0.07,1.44,0.0,14.49,0.1,1.44,0.0,14.49,0.0,0.0,1.0
2020-09-13 11:12:56.056142,17.17,0.08,1.43,0.0,14.33,0.1,1.43,0.0,14.33,0.0,0.0,1.0
2020-09-13 11:14:56.254973,16.27,0.08,1.42,0.0,14.23,0.1,1.42,0.0,14.23,0.0,0.0,1.0
2020-09-13 11:16:56.463780,15.8,0.09,1.45,0.0,14.5,0.1,1.45,0.0,14.5,0.0,0.0,1.0
2020-09-13 11:18:56.673895,17.5,0.08,1.43,0.0,14.38,0.1,1.43,0.0,14.38,0.0,0.0,1.0
2020-09-13 11:20:56.879005,16.32,0.08,1.36,0.0,13.67,0.1,1.36,0.0,13.67,0.0,0.0,0.94
2020-09-13 11:22:57.084068,21.15,0.08,1.72,0.0,14.36,0.12,1.72,0.0,14.36,0.0,0.0,1.0
2020-09-13 11:24:57.256672,17.09,0.08,1.43,0.0,14.32,0.1,1.43,0.0,14.32,0.0,0.0,1.0
2020-09-13 11:26:57.468081,19.7,0.09,1.84,0.0,14.23,0.13,1.84,0.0,14.23,0.0,0.0,1.0
2020-09-13 11:28:57.676912,16.32,0.09,1.52,0.0,13.83,0.11,1.52,0.0,13.83,0.0,0.0,1.0
2020-09-13 11:30:57.880760,17.38,0.04,0.8,0.0,8.05,0.1,0.8,0.0,8.05,0.0,0.0,0.0
2020-09-13 11:32:58.003365,15.67,0.1,1.6,0.0,13.39,0.12,1.6,0.0,13.39,0.0,0.0,0.84
2020-09-13 11:34:58.215954,16.56,0.07,1.3,0.0,14.49,0.09,1.3,0.0,14.49,0.0,0.0,1.0
2020-09-13 11:36:58.429974,17.1,0.07,1.29,0.0,14.34,0.09,1.29,0.0,14.34,0.0,0.0,1.0
2020-09-13 11:38:58.586317,16.98,0.08,1.45,0.0,14.5,0.1,1.45,0.0,14.5,0.0,0.0,1.0
2020-09-13 11:40:58.750178,15.55,0.1,1.56,0.0,13.02,0.12,1.56,0.0,13.02,0.0,0.0,0.7
2020-09-13 11:42:58.959190,17.39,0.11,2.04,0.0,14.63,0.14,2.04,0.0,14.63,0.0,0.0,1.0
2020-09-13 11:44:59.171762,17.95,0.1,1.86,0.0,14.32,0.13,1.86,0.0,14.32,0.0,0.0,1.0
2020-09-13 11:46:59.370631,17.44,0.12,2.16,0.0,14.43,0.15,2.16,0.0,14.43,0.0,0.0,1.0
2020-09-13 11:48:59.582117,18.72,0.06,1.29,0.0,14.38,0.09,1.29,0.0,14.38,0.0,0.0,1.0
2020-09-13 11:50:59.757217,19.12,0.11,2.18,0.0,14.54,0.15,2.18,0.0,14.54,0.0,0.0,1.0
2020-09-13 11:52:59.973361,20.94,0.05,1.15,0.0,14.38,0.08,1.15,0.0,14.38,0.0,0.0,1.0
2020-09-13 11:55:00.194812,17.29,0.1,1.73,0.0,14.46,0.12,1.73,0.0,14.46,0.0,0.0,1.0
2020-09-13 11:57:00.407656,17.27,0.12,2.15,0.0,14.35,0.15,2.15,0.0,14.35,0.0,0.0,1.0
2020-09-13 11:59:00.615007,17.63,0.11,2.0,0.0,14.33,0.14,2.0,0.0,14.33,0.0,0.0,1.0
2020-09-13 12:01:00.828416,17.59,0.11,2.01,0.0,14.4,0.14,2.01,0.0,14.4,0.0,0.0,1.0
2020-09-13 12:03:01.032694,17.42,0.12,2.17,0.0,14.48,0.15,2.17,0.0,14.48,0.0,0.0,1.0
2020-09-13 12:05:01.237834,18.02,0.07,1.44,0.0,14.43,0.1,1.44,0.0,14.43,0.0,0.0,1.0
2020-09-13 12:07:01.441590,20.43,0.09,2.03,0.0,14.52,0.14,2.03,0.0,14.52,0.0,0.0,1.0
2020-09-13 12:09:01.653752,17.04,0.09,1.58,0.0,14.43,0.11,1.58,0.0,14.43,0.0,0.0,1.0
2020-09-13 12:11:01.844941,16.53,0.11,1.97,0.0,14.13,0.14,1.97,0.0,14.13,0.0,0.0,1.0
2020-09-13 12:13:02.055816,14.8,0.1,1.5,0.0,13.65,0.11,1.5,0.0,13.65,0.0,0.0,0.94
2020-09-13 12:15:02.261283,16.41,0.11,1.88,0.0,14.48,0.13,1.88,0.0,14.48,0.0,0.0,1.0
2020-09-13 12:17:02.448710,17.8,0.11,2.0,0.0,14.34,0.14,2.0,0.0,14.34,0.0,0.0,1.0
2020-09-13 12:19:02.659376,17.18,0.1,1.73,0.0,14.47,0.12,1.73,0.0,14.47,0.0,0.0,1.0
2020-09-13 12:21:02.870892,17.14,0.09,1.57,0.0,14.31,0.11,1.57,0.0,14.31,0.0,0.0,1.0
2020-09-13 12:23:03.059439,17.4,0.09,1.73,0.0,14.46,0.12,1.73,0.0,14.46,0.0,0.0,1.0
2020-09-13 12:25:03.273840,16.9,0.1,1.71,0.0,14.29,0.12,1.71,0.0,14.29,0.0,0.0,1.0
2020-09-13 12:27:03.481943,15.12,0.11,1.67,0.0,13.95,0.12,1.67,0.0,13.95,0.0,0.0,1.0
2020-09-13 12:29:03.603825,16.42,0.1,1.73,0.0,14.46,0.12,1.73,0.0,14.46,0.0,0.0,1.0
2020-09-13 12:31:03.816583,16.06,0.1,1.71,0.0,14.33,0.12,1.71,0.0,14.33,0.0,0.0,1.0
2020-09-13 12:33:04.029155,16.49,0.1,1.73,0.0,14.47,0.12,1.73,0.0,14.47,0.0,0.0,1.0
2020-09-13 12:35:04.245573,16.92,0.1,1.73,0.0,14.47,0.12,1.73,0.0,14.47,0.0,0.0,1.0
2020-09-13 12:37:04.459628,18.7,0.09,1.73,0.0,14.49,0.12,1.73,0.0,14.49,0.0,0.0,1.0
2020-09-13 12:39:04.673627,17.99,0.09,1.67,0.0,13.98,0.12,1.67,0.0,13.98,0.0,0.0,1.0
2020-09-13 12:41:04.882666,15.44,0.09,1.52,0.0,13.87,0.11,1.52,0.0,13.87,0.0,0.0,1.0
2020-09-13 12:43:05.092995,14.22,0.1,1.44,0.0,13.1,0.11,1.44,0.0,13.1,0.0,0.0,0.74
2020-09-13 12:47:08.416588,13.36,0.09,1.21,0.0,10.09,0.12,1.21,0.0,10.09,0.0,0.0,0.0
2020-09-13 12:49:08.629462,14.71,0.12,1.9,0.0,13.59,0.14,1.9,0.0,13.59,0.0,0.0,0.91
