datetime,PV voltage,PV current, PV power L, PV power H,battery voltage,battery current,battery power L,battery power H,load voltage,load current,load power,battery percentage
2020-08-03 16:44:32.760934,14.01,0.1,1.41,0.0,11.8,0.12,1.41,0.0,11.8,0.25,2.95,0.25
2020-08-03 16:49:32.966983,12.87,0.1,1.41,0.0,11.83,0.12,1.41,0.0,11.83,0.17,2.01,0.26
2020-08-03 16:54:33.211469,12.87,0.11,1.53,0.0,11.83,0.13,1.53,0.0,11.83,0.15,1.77,0.26
2020-08-03 16:59:33.429604,12.89,0.11,1.53,0.0,11.83,0.13,1.53,0.0,11.83,0.18,2.12,0.26
2020-08-03 17:04:33.654163,12.9,0.12,1.65,0.0,11.82,0.14,1.65,0.0,11.82,0.16,1.89,0.26
2020-08-03 17:09:33.878700,12.91,0.13,1.77,0.0,11.82,0.15,1.77,0.0,11.82,0.16,1.89,0.26
2020-08-03 17:14:34.100889,12.88,0.12,1.65,0.0,11.81,0.14,1.65,0.0,11.81,0.16,1.88,0.26
2020-08-03 17:19:34.324117,12.67,0.11,1.41,0.0,11.78,0.12,1.41,0.0,11.78,0.19,2.23,0.25
2020-08-03 17:24:34.543699,12.9,0.12,1.65,0.0,11.81,0.14,1.65,0.0,11.81,0.17,2.0,0.26
2020-08-03 17:29:34.768311,12.88,0.13,1.77,0.0,11.8,0.15,1.77,0.0,11.8,0.19,2.24,0.25
2020-08-03 17:34:34.993007,12.81,0.11,1.53,0.0,11.78,0.13,1.53,0.0,11.78,0.16,1.88,0.25
2020-08-03 17:39:35.217247,12.58,0.11,1.41,0.0,11.78,0.12,1.41,0.0,11.78,0.16,1.88,0.24
2020-08-03 17:44:35.437426,12.58,0.1,1.29,0.0,11.75,0.11,1.29,0.0,11.75,0.18,2.11,0.23
2020-08-03 17:49:35.663183,12.57,0.11,1.41,0.0,11.78,0.12,1.41,0.0,11.78,0.19,2.23,0.24
2020-08-03 17:54:35.889086,12.55,0.1,1.29,0.0,11.75,0.11,1.29,0.0,11.75,0.19,2.23,0.23
2020-08-03 17:59:36.113353,12.53,0.11,1.4,0.0,11.73,0.12,1.4,0.0,11.73,0.19,2.22,0.23
2020-08-03 18:04:36.334766,12.5,0.11,1.41,0.0,11.75,0.12,1.41,0.0,11.75,0.17,1.99,0.24
2020-08-03 18:09:36.559516,12.48,0.11,1.4,0.0,11.72,0.12,1.4,0.0,11.72,0.18,2.1,0.22
2020-08-03 18:14:36.782320,12.49,0.11,1.4,0.0,11.74,0.12,1.4,0.0,11.74,0.16,1.87,0.23
2020-08-03 18:19:37.008917,12.65,0.12,1.52,0.0,11.75,0.13,1.52,0.0,11.75,0.18,2.11,0.24
2020-08-03 18:24:37.230292,12.5,0.12,1.52,0.0,11.71,0.13,1.52,0.0,11.71,0.17,1.99,0.22
2020-08-03 18:29:37.453280,12.31,0.11,1.4,0.0,11.71,0.12,1.4,0.0,11.71,0.15,1.75,0.22
2020-08-03 18:34:37.679210,11.83,0.0,0.0,0.0,11.71,0.0,0.0,0.0,11.71,0.16,1.87,0.22
2020-08-03 18:39:37.900201,11.74,0.0,0.0,0.0,11.71,0.0,0.0,0.0,11.71,0.17,1.99,0.22
2020-08-03 18:44:38.120166,11.71,0.0,0.0,0.0,11.7,0.0,0.0,0.0,11.7,0.16,1.87,0.22
2020-08-03 18:49:38.344946,11.69,0.0,0.0,0.0,11.68,0.0,0.0,0.0,11.68,0.17,1.98,0.21
2020-08-03 18:54:38.573065,11.68,0.0,0.0,0.0,11.68,0.0,0.0,0.0,11.68,0.18,2.1,0.21
2020-08-03 18:59:38.799807,11.68,0.0,0.0,0.0,11.68,0.0,0.0,0.0,11.68,0.17,1.98,0.21
2020-08-03 19:04:39.026427,11.66,0.0,0.0,0.0,11.66,0.0,0.0,0.0,11.66,0.17,1.98,0.2
2020-08-03 19:09:39.247863,11.6,0.0,0.0,0.0,11.66,0.0,0.0,0.0,11.66,0.2,2.33,0.2
2020-08-03 19:14:39.476920,11.6,0.0,0.0,0.0,11.65,0.0,0.0,0.0,11.65,0.17,1.98,0.2
2020-08-03 19:19:39.703238,11.6,0.0,0.0,0.0,11.65,0.0,0.0,0.0,11.65,0.16,1.86,0.2
2020-08-03 19:24:39.927330,11.53,0.0,0.0,0.0,11.63,0.0,0.0,0.0,11.63,0.17,1.97,0.19
2020-08-03 19:29:40.153514,11.5,0.0,0.0,0.0,11.63,0.0,0.0,0.0,11.63,0.18,2.09,0.19
2020-08-03 19:34:40.380070,11.25,0.0,0.0,0.0,11.63,0.0,0.0,0.0,11.63,0.18,2.09,0.19
2020-08-03 19:39:40.599461,10.57,0.0,0.0,0.0,11.62,0.0,0.0,0.0,11.62,0.17,1.97,0.19
2020-08-03 19:44:40.826544,9.54,0.0,0.0,0.0,11.59,0.0,0.0,0.0,11.59,0.18,2.08,0.18
2020-08-03 19:49:41.048659,8.18,0.0,0.0,0.0,11.59,0.0,0.0,0.0,11.59,0.16,1.85,0.18
2020-08-03 19:54:41.272437,7.94,0.0,0.0,0.0,11.59,0.0,0.0,0.0,11.59,0.16,1.85,0.17
2020-08-03 19:59:41.499446,6.57,0.0,0.0,0.0,11.59,0.0,0.0,0.0,11.59,0.17,1.97,0.18
2020-08-03 20:04:41.653670,4.65,0.0,0.0,0.0,11.57,0.0,0.0,0.0,11.57,0.17,1.96,0.17
2020-08-03 20:09:41.885547,3.77,0.0,0.0,0.0,11.57,0.0,0.0,0.0,11.57,0.16,1.85,0.17
2020-08-03 20:14:42.117779,2.16,0.0,0.0,0.0,11.55,0.0,0.0,0.0,11.55,0.18,2.07,0.16
2020-08-03 20:19:42.347720,1.13,0.0,0.0,0.0,11.55,0.0,0.0,0.0,11.55,0.19,2.19,0.16
2020-08-03 20:24:42.575137,0.6,0.0,0.0,0.0,11.53,0.0,0.0,0.0,11.53,0.16,1.84,0.15
2020-08-03 20:29:42.748573,0.4,0.0,0.0,0.0,11.53,0.0,0.0,0.0,11.53,0.17,1.96,0.15
2020-08-03 20:34:42.965277,0.32,0.0,0.0,0.0,11.53,0.0,0.0,0.0,11.53,0.19,2.19,0.15
2020-08-03 20:39:43.188902,0.3,0.0,0.0,0.0,11.51,0.0,0.0,0.0,11.51,0.19,2.18,0.13
2020-08-03 20:44:43.409567,0.29,0.0,0.0,0.0,11.48,0.0,0.0,0.0,11.48,0.19,2.18,0.13
2020-08-03 20:49:43.637551,0.3,0.0,0.0,0.0,11.49,0.0,0.0,0.0,11.49,0.17,1.95,0.14
2020-08-03 20:54:43.862894,0.3,0.0,0.0,0.0,11.48,0.0,0.0,0.0,11.48,0.15,1.72,0.13
2020-08-03 20:59:44.081922,0.31,0.0,0.0,0.0,11.46,0.0,0.0,0.0,11.46,0.17,1.94,0.13
2020-08-03 21:04:44.310786,0.32,0.0,0.0,0.0,11.46,0.0,0.0,0.0,11.46,0.18,2.06,0.13
2020-08-03 21:09:44.535576,0.32,0.0,0.0,0.0,11.44,0.0,0.0,0.0,11.44,0.16,1.83,0.12
2020-08-03 21:14:44.765588,0.31,0.0,0.0,0.0,11.44,0.0,0.0,0.0,11.44,0.17,1.94,0.12
2020-08-03 21:19:44.994440,0.3,0.0,0.0,0.0,11.42,0.0,0.0,0.0,11.42,0.17,1.94,0.11
2020-08-03 21:24:45.222012,0.34,0.0,0.0,0.0,11.41,0.0,0.0,0.0,11.41,0.19,2.16,0.11
2020-08-03 21:29:45.449668,0.33,0.0,0.0,0.0,11.4,0.0,0.0,0.0,11.4,0.17,1.93,0.1
2020-08-03 21:34:45.668567,0.34,0.0,0.0,0.0,11.38,0.0,0.0,0.0,11.38,0.18,2.04,0.1
2020-08-03 21:39:45.893846,0.34,0.0,0.0,0.0,11.35,0.0,0.0,0.0,11.35,0.2,2.27,0.08
2020-08-03 21:44:46.120500,0.36,0.0,0.0,0.0,11.35,0.0,0.0,0.0,11.35,0.17,1.92,0.08
2020-08-03 21:49:46.352502,0.34,0.0,0.0,0.0,11.34,0.0,0.0,0.0,11.34,0.2,2.26,0.07
2020-08-03 21:54:46.588360,0.34,0.0,0.0,0.0,11.31,0.0,0.0,0.0,11.31,0.17,1.92,0.07
2020-08-03 21:59:46.820603,0.34,0.0,0.0,0.0,11.29,0.0,0.0,0.0,11.29,0.18,2.03,0.06
2020-08-03 22:04:47.050402,0.34,0.0,0.0,0.0,11.27,0.0,0.0,0.0,11.27,0.2,2.25,0.05
2020-08-03 22:09:47.277722,0.34,0.0,0.0,0.0,11.23,0.0,0.0,0.0,11.23,0.18,2.02,0.04
2020-08-03 22:14:47.508214,0.34,0.0,0.0,0.0,11.17,0.0,0.0,0.0,11.17,0.18,2.01,0.02
