datetime,PV voltage,PV current,PV power L,PV power H,battery voltage,battery current,battery power L,battery power H,load voltage,load current,load power,battery percentage
2021-02-14 11:14:50.264472,19.18,1.77,34.03,0.0,13.4,2.54,34.03,0.0,13.4,0.18,2.41,0.76
2021-02-14 11:16:50.443655,19.06,1.3,24.96,0.0,13.21,1.89,24.96,0.0,13.21,0.18,2.37,0.7
2021-02-14 11:18:50.655845,19.07,1.12,21.51,0.0,13.12,1.64,21.51,0.0,13.12,0.16,2.09,0.67
2021-02-14 11:20:50.867754,19.14,0.87,16.75,0.0,12.99,1.29,16.75,0.0,12.99,0.15,1.94,0.63
2021-02-14 11:22:51.075973,19.1,0.82,15.69,0.0,12.97,1.21,15.69,0.0,12.97,0.15,1.94,0.63
2021-02-14 11:24:51.288374,13.59,0.69,9.46,0.0,12.79,0.74,9.46,0.0,12.79,0.17,2.17,0.57
2021-02-14 11:26:51.494972,14.23,0.55,7.88,0.0,12.72,0.62,7.88,0.0,12.72,0.15,1.9,0.55
2021-02-14 11:28:51.705472,14.26,0.71,10.19,0.0,12.74,0.8,10.19,0.0,12.74,0.15,1.91,0.56
2021-02-14 11:30:51.885037,13.74,1.04,14.29,0.0,12.88,1.11,14.29,0.0,12.88,0.18,2.31,0.61
2021-02-14 11:32:52.093127,13.69,0.93,12.74,0.0,12.87,0.99,12.74,0.0,12.87,0.18,2.31,0.6
2021-02-14 11:34:52.301624,13.67,0.85,11.69,0.0,12.85,0.91,11.69,0.0,12.85,0.17,2.18,0.59
2021-02-14 11:36:52.440350,13.62,0.75,10.23,0.0,12.79,0.8,10.23,0.0,12.79,0.15,1.91,0.57
2021-02-14 11:38:52.647961,13.61,0.71,9.71,0.0,12.78,0.76,9.71,0.0,12.78,0.17,2.17,0.57
2021-02-14 11:40:52.855694,14.21,0.53,7.63,0.0,12.72,0.6,7.63,0.0,12.72,0.15,1.9,0.55
2021-02-14 11:42:53.061019,14.16,0.5,7.09,0.0,12.67,0.56,7.09,0.0,12.67,0.16,2.02,0.54
2021-02-14 11:44:53.273848,14.17,0.5,7.22,0.0,12.68,0.57,7.22,0.0,12.68,0.16,2.02,0.54
2021-02-14 11:46:53.485317,14.17,0.5,7.1,0.0,12.68,0.56,7.1,0.0,12.68,0.17,2.15,0.54
2021-02-14 11:48:53.689569,14.22,0.6,8.64,0.0,12.71,0.68,8.64,0.0,12.71,0.16,2.03,0.55
2021-02-14 11:50:53.890333,14.28,0.67,9.69,0.0,12.75,0.76,9.69,0.0,12.75,0.17,2.16,0.56
2021-02-14 11:52:54.099963,14.31,0.75,10.74,0.0,12.79,0.84,10.74,0.0,12.79,0.17,2.17,0.57
2021-02-14 11:54:54.274664,14.35,0.74,10.62,0.0,12.8,0.83,10.62,0.0,12.8,0.16,2.04,0.58
2021-02-14 11:56:54.488273,14.41,0.85,12.33,0.0,12.85,0.96,12.33,0.0,12.85,0.16,2.05,0.59
2021-02-14 11:58:54.697034,14.42,0.83,12.09,0.0,12.87,0.94,12.09,0.0,12.87,0.15,1.93,0.6
2021-02-14 12:00:54.907190,14.35,0.7,10.11,0.0,12.81,0.79,10.11,0.0,12.81,0.16,2.04,0.58
2021-02-14 12:02:55.109630,14.31,0.64,9.19,0.0,12.77,0.72,9.19,0.0,12.77,0.15,1.91,0.57
2021-02-14 12:04:55.317283,14.25,0.57,8.15,0.0,12.74,0.64,8.15,0.0,12.74,0.16,2.03,0.56
2021-02-14 12:06:55.526097,14.26,0.61,8.79,0.0,12.75,0.69,8.79,0.0,12.75,0.16,2.04,0.56
2021-02-14 12:08:55.716261,14.26,0.59,8.53,0.0,12.74,0.67,8.53,0.0,12.74,0.18,2.29,0.56
2021-02-14 12:10:55.928956,14.33,0.69,9.97,0.0,12.79,0.78,9.97,0.0,12.79,0.17,2.17,0.57
2021-02-14 12:12:56.134074,14.35,0.75,10.78,0.0,12.84,0.84,10.78,0.0,12.84,0.17,2.18,0.59
2021-02-14 12:14:56.346904,14.38,0.76,11.05,0.0,12.85,0.86,11.05,0.0,12.85,0.17,2.18,0.59
2021-02-14 12:16:56.535793,13.76,0.96,13.27,0.0,12.89,1.03,13.27,0.0,12.89,0.16,2.06,0.61
2021-02-14 12:18:56.673477,13.73,0.86,11.85,0.0,12.89,0.92,11.85,0.0,12.89,0.16,2.06,0.61
2021-02-14 12:20:56.886119,13.7,0.82,11.31,0.0,12.86,0.88,11.31,0.0,12.86,0.16,2.05,0.6
2021-02-14 12:22:57.096194,13.77,0.97,13.44,0.0,12.93,1.04,13.44,0.0,12.93,0.17,2.19,0.62
2021-02-14 12:24:57.313925,13.78,0.97,13.44,0.0,12.93,1.04,13.44,0.0,12.93,0.16,2.06,0.62
2021-02-14 12:26:57.526997,13.86,1.09,15.19,0.0,12.99,1.17,15.19,0.0,12.99,0.16,2.07,0.64
2021-02-14 12:28:57.740007,19.08,1.09,20.82,0.0,13.18,1.58,20.82,0.0,13.18,0.16,2.1,0.7
2021-02-14 12:30:57.947235,18.69,0.87,16.32,0.0,13.06,1.25,16.32,0.0,13.06,0.16,2.08,0.66
2021-02-14 12:32:58.155531,18.68,0.9,16.84,0.0,13.06,1.29,16.84,0.0,13.06,0.16,2.08,0.66
2021-02-14 12:34:58.370253,18.52,0.91,17.01,0.0,13.09,1.3,17.01,0.0,13.09,0.17,2.22,0.67
2021-02-14 12:36:58.587576,18.84,0.9,17.0,0.0,13.08,1.3,17.0,0.0,13.08,0.17,2.22,0.67
2021-02-14 12:38:58.798649,18.92,0.89,16.84,0.0,13.06,1.29,16.84,0.0,13.06,0.16,2.08,0.67
2021-02-14 12:40:59.003545,13.79,0.86,11.91,0.0,12.95,0.92,11.91,0.0,12.95,0.17,2.2,0.63
2021-02-14 12:42:59.209713,13.75,0.88,12.14,0.0,12.92,0.94,12.14,0.0,12.92,0.16,2.06,0.62
2021-02-14 12:44:59.422974,13.82,0.94,13.09,0.0,12.97,1.01,13.09,0.0,12.97,0.18,2.33,0.63
2021-02-14 12:46:59.610888,13.81,0.9,12.44,0.0,12.96,0.96,12.44,0.0,12.96,0.17,2.2,0.63
2021-02-14 12:48:59.829655,13.82,0.92,12.82,0.0,12.95,0.99,12.82,0.0,12.95,0.15,1.94,0.63
2021-02-14 12:51:00.040866,13.91,1.1,15.37,0.0,13.03,1.18,15.37,0.0,13.03,0.15,1.95,0.65
2021-02-14 12:53:00.259765,13.93,1.15,16.08,0.0,13.08,1.23,16.08,0.0,13.08,0.17,2.22,0.67
2021-02-14 12:55:00.472259,13.87,0.97,13.53,0.0,13.01,1.04,13.53,0.0,13.01,0.15,1.95,0.65
2021-02-14 12:57:00.676861,13.81,0.92,12.71,0.0,12.97,0.98,12.71,0.0,12.97,0.16,2.07,0.63
2021-02-14 12:59:00.883843,13.89,1.0,13.92,0.0,13.01,1.07,13.92,0.0,13.01,0.16,2.08,0.65
2021-02-14 13:01:01.100844,13.9,1.07,14.98,0.0,13.03,1.15,14.98,0.0,13.03,0.25,3.25,0.65
2021-02-14 13:03:01.291452,14.02,1.28,18.01,0.0,13.15,1.37,18.01,0.0,13.15,0.17,2.23,0.68
2021-02-14 13:05:01.519344,19.12,1.46,27.93,0.0,13.76,2.03,27.93,0.0,13.76,0.18,2.47,0.88
2021-02-14 13:07:01.708027,19.62,1.51,29.69,0.0,14.21,2.09,29.69,0.0,14.21,0.16,2.27,1.0
2021-02-14 13:09:01.884090,17.88,1.33,23.8,0.0,13.45,1.77,23.8,0.0,13.45,0.17,2.28,0.79
