datetime,solarVoltage,solarCurrent,solarPowerL,solarPowerH,batteryVoltage,batteryCurrent,batteryPowerL,batteryPowerH,loadVoltage,loadCurrent,loadPower,batteryPercentage
2020-08-02 21:51:46.240766,13.28,0.1,1.37,0.0,12.5,0.11,1.37,0.0,12.5,0.25,3.12,0.52
2020-08-02 21:57:26.857247,13.51,0.0,0.0,0.0,12.52,0.0,0.0,0.0,12.52,0.25,3.13,0.52
2020-08-02 16:59:19.550830,13.53,0.09,1.25,0.0,12.5,0.1,1.25,0.0,12.5,0.24,3.0,0.52
2020-08-02 17:04:19.741148,13.27,0.1,1.37,0.0,12.51,0.11,1.37,0.0,12.51,0.17,2.12,0.53
2020-08-02 17:09:19.938666,13.23,0.1,1.37,0.0,12.52,0.11,1.37,0.0,12.52,0.17,2.12,0.52
2020-08-02 17:14:20.153521,13.32,0.11,1.5,0.0,12.53,0.12,1.5,0.0,12.53,0.16,2.0,0.53
2020-08-02 17:19:20.365394,13.13,0.1,1.37,0.0,12.53,0.11,1.37,0.0,12.53,0.18,2.25,0.53
2020-08-02 17:24:20.492787,12.96,0.0,0.0,0.0,12.53,0.0,0.0,0.0,12.53,0.14,1.75,0.53
2020-08-02 17:29:20.707745,12.64,0.0,0.0,0.0,12.52,0.0,0.0,0.0,12.52,0.14,1.75,0.52
2020-08-02 17:34:20.923435,12.6,0.0,0.0,0.0,12.52,0.0,0.0,0.0,12.52,0.16,2.0,0.52
2020-08-02 17:39:21.137151,12.56,0.0,0.0,0.0,12.51,0.0,0.0,0.0,12.51,0.15,1.87,0.52
2020-08-02 17:44:21.351096,12.58,0.0,0.0,0.0,12.51,0.0,0.0,0.0,12.51,0.16,2.0,0.52
2020-08-02 17:49:21.496471,12.56,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.16,1.99,0.51
2020-08-02 17:54:21.611352,12.55,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.15,1.87,0.51
2020-08-02 17:59:21.747551,12.54,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.16,1.99,0.51
2020-08-02 18:04:21.937648,12.53,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.16,1.99,0.51
2020-08-02 18:09:22.154086,12.53,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.17,2.12,0.51
2020-08-02 18:14:22.370703,13.15,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.16,1.99,0.51
2020-08-02 18:19:22.496033,12.48,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.15,1.87,0.51
2020-08-02 18:24:22.713819,12.47,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.18,2.24,0.51
2020-08-02 18:29:22.929201,12.45,0.0,0.0,0.0,12.49,0.0,0.0,0.0,12.49,0.15,1.87,0.51
2020-08-02 18:34:23.142734,12.44,0.0,0.0,0.0,12.48,0.0,0.0,0.0,12.48,0.15,1.87,0.51
2020-08-02 18:39:23.357391,12.42,0.0,0.0,0.0,12.48,0.0,0.0,0.0,12.48,0.16,1.99,0.51
