datetime,PV voltage,PV current,PV power L,PV power H,battery voltage,battery current,battery power L,battery power H,load voltage,load current,load power,battery percentage
2021-01-14 00:00:17.434790,0.2,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.29,3.56,0.42
2021-01-14 00:02:29.145922,0.21,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.22,2.7,0.42
2021-01-14 00:04:29.361515,0.21,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.23,2.82,0.42
2021-01-14 00:06:29.567260,0.21,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-14 00:08:29.766407,0.21,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.23,2.82,0.42
2021-01-14 00:10:29.969863,0.21,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.25,3.06,0.41
2021-01-14 00:12:30.152788,0.21,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-14 00:14:30.358512,0.2,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.24,2.94,0.42
2021-01-14 00:16:30.557095,0.2,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:18:30.755777,0.2,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:20:30.957835,0.18,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.25,3.06,0.41
2021-01-14 00:22:31.149220,0.19,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:24:31.353567,0.17,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:26:31.559308,0.17,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:28:31.766341,0.15,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:30:31.967211,0.15,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.22,2.69,0.41
2021-01-14 00:32:32.170731,0.13,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-14 00:34:32.377851,0.12,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:36:32.512023,0.1,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-14 00:38:32.719082,0.1,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:40:32.923839,0.1,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.22,2.69,0.41
2021-01-14 00:42:33.133830,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:44:33.332836,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-14 00:46:33.543085,0.08,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.23,2.81,0.41
2021-01-14 00:48:33.752145,0.07,0.0,0.0,0.0,12.26,0.0,0.0,0.0,12.26,0.23,2.81,0.41
2021-01-14 00:50:33.868874,0.08,0.0,0.0,0.0,12.26,0.0,0.0,0.0,12.26,0.23,2.81,0.41
2021-01-14 00:52:34.073216,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-14 00:54:34.279971,0.06,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.41
2021-01-14 00:56:34.488084,0.06,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.41
2021-01-14 00:58:34.694993,0.08,0.0,0.0,0.0,12.24,0.0,0.0,0.0,12.24,0.24,2.93,0.4
2021-01-14 01:00:34.896922,0.07,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.22,2.69,0.41
2021-01-14 01:02:35.098862,0.07,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.41
2021-01-14 01:04:35.229582,0.07,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.23,2.81,0.41
2021-01-14 01:06:35.429061,0.07,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.41
2021-01-14 01:08:35.636016,0.07,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.23,2.81,0.41
2021-01-14 01:10:35.843324,0.07,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.22,2.69,0.41
2021-01-14 01:12:36.052038,0.07,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-14 01:14:36.240155,0.07,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.23,2.81,0.4
2021-01-14 01:16:36.445905,0.07,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-14 01:18:36.590617,0.07,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-14 01:20:36.795496,0.07,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-14 01:22:37.004362,0.07,0.0,0.0,0.0,12.22,0.0,0.0,0.0,12.22,0.25,3.05,0.4
2021-01-14 01:24:37.218336,0.07,0.0,0.0,0.0,12.22,0.0,0.0,0.0,12.22,0.23,2.81,0.4
2021-01-14 01:26:37.423532,0.07,0.0,0.0,0.0,12.22,0.0,0.0,0.0,12.22,0.23,2.81,0.4
2021-01-14 01:28:37.635031,0.07,0.0,0.0,0.0,12.22,0.0,0.0,0.0,12.22,0.23,2.81,0.4
