kind,name,display,vertical,description,replies,room,linksTo,positionX,positionY,verbs,verbs_display,onVerb_description,onVerb_linksTo,onVerb_alter,onVerb_make,onVerb_dialog,moveTo,moveToX,moveToY
,,,,,,,,,,,,,,,,,,,
menu,you,you,,you,,,you,6,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,you,,,,,,,,,,,,,,,,,,
object,world,world,,world,,you,previousRoom,6,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,,misc room for nowhere objects,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,save_found,,,,,,,,,,,,,,,,,,
object,saved_game,resume,,save found. would you like to resume where you left off?,,save_found,,50,50,load_save|new_game,load save|new game,loading save...|...,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,new_game,,,,,,,,,,,,,,,,,,
object,title,drift mine satellite,,<br><center>drift mine satellite<br><br><i>a maintenance text adventure</i></center>,,new_game,,50,50,enter,begin,...,dream,,,,,,
,,,,,,,,,,,,,,,,,,,
room,train_car_inside,,,,,,,,,,,,,,,,,,
object,bed_made,bed,,a four-poster. ornate against the metal walls.,,,,10,60,enter|inspect,sleep|look,"falling asleep|all hung with curtains and sheets. a hand-made luxury, scavenged and patched.",dream,bed_unmade|,,,,,
object,bed_unmade,bed,,"curtains pulled back, pillows piled in the middle.",,train_car_inside,,10,60,enter|inspect,sleep|make,"falling asleep|you tuck in the sheets, and fold the rumpled comforters over them. 2 comforters, and a quilt. it is always a little cold here for you.",dream,bed_unmade|bed_made,,,,,
object,rug,rug,,"in mille-fleur style. threadbare and a little dirty, but expensive, once. you pulled it from the archives, when they held more than they do now.",,train_car_inside,,20,65,inspect,sit,"sitting on the rug, tracing the stems of your thousand flowers.",,,,,,,
object,mirror,mirror,,it's you.,,train_car_inside,,40,73,camera:make,take a photograph of yourself,"you point the polaroid at your reflection and release the shutter. it spits out a white square, on which your face slowly forms.",,,photograph,,,,
object,photograph,photograph,,"a photograph of you, framed in your bedroom mirror. it is a little blurry, but unmistakably you.",,,,40,70,take,take,,,,,,,,
object,library_card,library card,,"a photograph of you, framed in your bedroom mirror. on the back is written ""INTERLIBRARY LOAN: ONE 1962 MAGNAVOX PORTABLE RECORD PLAYER""",,,,40,70,,,,,,,,,,
object,door,door,left,leaving your home,,train_car_inside,train_car,85,50,,,,,,,,,,
object,modem,modem,,"gently blinking, green and red lights. like christmas.",,train_car_inside,,65,45,,,,,,,,,,
object,computer,computer,,"an old HP laptop. the hinges are busted, but it works fine if you don't try to move it.",,train_car_inside,,60,55,enter,log in,password: ***********,computer,,,,,,
object,copper_wire,copper wire,,"a length, handmade, that you've wrapped around a pencil.",,,,39,38,take,take,,,,,,,,
object,copper_cables,copper cables,,"snake-like, pulled from the walls of a disused boat. spliced together, in places, to make a longer thread.",,train_car_inside,,40,35,tools:make,work,"you braid a few strands, crimping the edges.",,,copper_wire,,,,
object,tools,tools,,"your trade spread out on the table. clippers, awl, pliers, drill. potentiometer. running on a dwindling supply of AA's.",,train_car_inside,,42,30,inspect|take,sharpen|take,you pull your stone against the cutting edges.|to carry with you.,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,dream,,,,,,,,,,,,,,,,,,
object,dream_1,dream,,standing on the porch in the morning.,,dream,,50,50,enter,wake up,coming back,train_car_inside,dream_2,,,,,
object,dream_2,dream,,the sound of birds out the window.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_3,,,,,
object,dream_3,dream,,walking city streets.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_4,,,,,
object,dream_4,dream,,it is snowing.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_5,,,,,
object,dream_5,dream,,"a fox stands in the front yard, looking at you.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_6,,,,,
object,dream_6,dream,,"the ocean. tides, waves. smell of salt.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_7,,,,,
object,dream_7,dream,,a fire in your childhood home.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_8,,,,,
object,dream_8,dream,,laying in the grass. moths in the flowers.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_9,,,,,
object,dream_9,dream,,"a smiling waitress takes your order. coffee, pancakes.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_10,,,,,
object,dream_10,dream,,sitting on the steps of a museum. the sky is very blue.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_11,,,,,
object,dream_11,dream,,trying to explain why you cut your hair. failing. crying in frustration.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_12,,,,,
object,dream_12,dream,,wolves.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_13,,,,,
object,dream_13,dream,,schoolyard. it is almost summer. the asphalt is hot.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_14,,,,,
object,dream_14,dream,,a planet hanging low and close in the sky above the bluff.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_15,,,,,
object,dream_15,dream,,a house full of animals. they all need to be fed.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_16,,,,,
object,dream_16,dream,,eating a fresh peach.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_17,,,,,
object,dream_17,dream,,lost in a city. mountains in the distance.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_18,,,,,
object,dream_18,dream,,"running down a hill, tripping, catching yourself on air, flying, laughing.",,,,50,50,enter,wake up,coming back,train_car_inside,dream_19,,,,,
object,dream_19,dream,,a swan paddles circles on the lake.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_20,,,,,
object,dream_20,dream,,lost in a graphical interface. dream of clicking.,,,,50,50,enter,wake up,coming back,train_car_inside,dream_1,,,,,
,,,,,,,,,,,,,,,,,,,
room,computer,,,,,,,,,,,,,,,,,,
object,games,games,,snake. solitaire. minesweeper.,,computer,,20,10,,,,,,,,,,
object,mail_1,mail,,"inbox: 3<br><br>from: horsegirl45<br>
subject: IMPORTANT. open asap.<br><br>
haha, gotcha! no but really, this is important– it’s my birthday tonight and if you don’t come to the party I’ll never forgive you. bring something nice for me, okay?",,computer,,20,25,inspect,archive,,,mail_2,,,,,
object,mail_2,mail,,"inbox: 2<br><br>from: eddyboy<br>
subject: continuing failures in the transmission lines<br><br>
listen, remember how we were running into issues with the voltage dropping for no particular reason? I think I might have a solution… come visit me near the generators by the lake.",,,,20,25,inspect,archive,,,mail_3,,,,,
object,mail_3,mail,,"inbox: 1<br><br>from: space_cadet1<br>
subject: your help with the GPS positioning<br><br>
need your expertise when you have a minute. will you come by? bring your toolbox.",,,,20,25,inspect,archive,,,mail_empty,,,,,
object,mail_empty,mail,,inbox: 0,,,,20,25,,,,,,,,,,
object,network,network,,"honestly, a lot of outages... probably half the network is offline?",,computer,,20,40,,,,,,,,,,
object,files,files,,"1,231,571 items. arranged in folders.",,computer,,20,55,,,,,,,,,,
object,log_out,log out,,logging out . . . .,,computer,train_car_inside,80,90,,,,,,,,,,
object,trash,trash,,draft proposal for a garden watering schedule. a letter you wrote while angry (filename: DONOTOPEN.txt). 27 selfies. a jpeg of a goat.,,computer,,90,90,inspect,empty,good riddance.,,empty_trash,,,,,
object,empty_trash,trash,,0 items.,,,,90,90,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
room,train_car,,,,,,,,,,,,,,,,,,
object,north,↟,,following the tunnel north,,train_car,tunnel_ew_2,50,5,,,,,,,,,,
