PV current,PV power H,PV power L,PV voltage,battery percentage,battery voltage,charge current,charge power H,charge power L,date,load current,load power,load voltage,time
0.07,0.0,1.0,13.5,0.55,12.59,0.08,0.0,1.0,2020-01-13 16:16:38.680147,0.37,4.65,12.59,16:16:38.680034
0.06,0.0,0.88,13.64,0.58,12.71,0.07,0.0,0.88,2020-01-13 16:17:38.832802,0.37,4.7,12.71,16:17:38.832693
0.06,0.0,0.89,13.71,0.61,12.76,0.07,0.0,0.89,2020-01-13 16:18:39.222024,0.38,4.84,12.76,16:18:39.221908
0.06,0.0,0.89,13.68,0.61,12.77,0.07,0.0,0.89,2020-01-13 16:19:39.574598,0.36,4.59,12.77,16:19:39.574488
0.06,0.0,0.89,13.69,0.61,12.77,0.07,0.0,0.89,2020-01-13 16:20:39.908463,0.36,4.59,12.77,16:20:39.908346
0.06,0.0,0.89,13.7,0.61,12.76,0.07,0.0,0.89,2020-01-13 16:21:40.208667,0.36,4.59,12.76,16:21:40.208557
0.06,0.0,0.89,13.69,0.61,12.77,0.07,0.0,0.89,2020-01-13 16:22:40.546436,0.37,4.72,12.77,16:22:40.546321
0.06,0.0,0.89,13.69,0.61,12.76,0.07,0.0,0.89,2020-01-13 16:23:40.899198,0.37,4.72,12.76,16:23:40.899087
0.06,0.0,0.89,13.64,0.61,12.76,0.07,0.0,0.89,2020-01-13 16:24:41.207030,0.36,4.59,12.76,16:24:41.206915
0.04,0.0,0.63,13.54,0.57,12.64,0.05,0.0,0.63,2020-01-13 16:25:41.513520,0.37,4.67,12.64,16:25:41.513406
0.03,0.0,0.5,13.59,0.58,12.69,0.04,0.0,0.5,2020-01-13 16:26:41.887513,0.59,7.48,12.69,16:26:41.887403
0.03,0.0,0.5,13.61,0.58,12.69,0.04,0.0,0.5,2020-01-13 16:27:42.207796,0.58,7.36,12.69,16:27:42.207685
0.09,0.0,1.26,13.57,0.58,12.68,0.1,0.0,1.26,2020-01-13 16:28:42.598059,0.57,7.22,12.68,16:28:42.597955
0.01,0.0,0.25,13.53,0.55,12.62,0.02,0.0,0.25,2020-01-13 16:29:42.958354,0.78,9.84,12.62,16:29:42.958246
0.0,0.0,0.0,13.49,0.54,12.58,0.0,0.0,0.0,2020-01-13 16:30:43.323627,0.7,8.8,12.58,16:30:43.323514
0.33,0.0,4.52,13.51,0.55,12.58,0.36,0.0,4.52,2020-01-13 16:31:43.682671,0.65,8.17,12.58,16:31:43.682563
0.0,0.0,0.0,13.46,0.54,12.57,0.0,0.0,0.0,2020-01-13 16:32:44.056690,0.7,8.79,12.57,16:32:44.056580
0.28,0.0,3.89,13.49,0.54,12.58,0.31,0.0,3.89,2020-01-13 16:33:44.434487,0.67,8.42,12.58,16:33:44.434373
0.01,0.0,0.25,13.59,0.6,12.73,0.02,0.0,0.25,2020-01-13 16:34:44.813494,0.6,7.63,12.73,16:34:44.813384
